Date,Bitcoin_24h_Average,Crude_oil_spot_price_Dollars_per_Barrel
2016-06-15,685.07,48.76
2016-05-15,461.33,46.71
2016-04-15,429.06,40.75
2016-03-15,419.17,37.55
2016-02-15,404.56,30.32
2016-01-15,402.74,31.68
2015-12-15,456.75,37.19
2015-11-15,329.85,42.44
2015-10-15,256.09,46.22
2015-09-15,231.89,45.48
2015-08-15,267.24,42.87
2015-07-15,291.62,50.9
2015-06-15,236.05,59.82
2015-05-15,242.02,59.27
2015-04-15,221.76,54.45
2015-03-15,284.95,47.82
2015-02-15,251.15,50.58
2015-01-15,205.48,47.22
2014-12-15,348.59,59.29
2014-11-15,387.74,75.79
2014-10-15,394.8,84.4
2014-09-15,477.79,93.21
2014-08-15,506.9,96.54
2014-07-15,624.03,103.59
2014-06-15,565.11,105.79
2014-05-15,446.67,102.18
2014-04-15,486.85,102.07
2014-03-15,636.21,100.8
2014-02-15,651.9,100.82
2014-01-15,862.07,94.62
2013-12-15,839.93,97.63
2013-11-15,431.69,93.86
2013-10-15,143.64,100.54
2013-09-15,131.33,106.29
2013-08-15,105.28,106.57
2013-07-15,96.51,104.67
2013-06-15,100.38,95.77
2013-05-15,109.6,94.51
2013-04-15,86.91,92.02
2013-03-15,46.68,92.94
2013-02-15,26.95,95.31
2013-01-15,14.19,94.76
2012-12-15,13.51,87.86
2012-11-15,11.04,86.53
2012-10-15,11.68,89.49
2012-09-15,11.69,94.51
2012-08-15,12.6,94.13
2012-07-15,7.57,87.9
2012-06-15,6.1,82.3
2012-05-15,4.99,94.66
2012-04-15,4.92,103.32
2012-03-15,5.3,106.16
2012-02-15,4.58,102.2
2012-01-15,6.9,100.27
2011-12-15,3.17,98.56
2011-11-15,2.3,97.16
2011-10-15,3.89,86.32
2011-09-15,4.97,85.52
2011-08-15,11.3,86.33
2011-07-15,13.9,97.3
2011-06-15,19.68,96.26
2011-05-15,6.74,100.9
2011-04-15,1.0,109.53
2011-03-15,0.88,102.86
2011-02-15,1.05,88.58
2011-01-15,0.39,89.17
2010-12-15,0.24,89.15
2010-11-15,0.27,84.25
2010-10-15,0.1,81.89
2010-09-15,0.06,75.24
2010-08-15,0.07,76.6
